id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,team_name,league_name,league_name_id
404,2013,6351,2011-02-22 00:00:00,50,Balanced,,Little,55,Mixed,Organised,50,Normal,55,Normal,55,Normal,Organised,50,Medium,50,Press,55,Normal,Cover,KAS Eupen,Belgium Jupiler League,11
510,110316,6391,2015-09-10 00:00:00,48,Balanced,53.0,Normal,52,Mixed,Organised,55,Normal,53,Normal,55,Normal,Organised,42,Medium,46,Press,53,Normal,Cover,GFC Ajaccio,France Ligue 1,4
949,1892,6403,2015-09-10 00:00:00,63,Balanced,40.0,Normal,39,Mixed,Organised,64,Normal,53,Normal,52,Normal,Organised,36,Medium,39,Press,64,Normal,Cover,FC Paços de Ferreira,Portugal Liga ZON Sagres,8
978,1914,6413,2015-09-10 00:00:00,45,Balanced,35.0,Normal,56,Mixed,Organised,57,Normal,50,Normal,58,Normal,Organised,58,Medium,60,Press,63,Normal,Cover,PEC Zwolle,Netherlands Eredivisie,6
719,10018,6421,2010-02-22 00:00:00,30,Slow,,Little,30,Short,Organised,50,Normal,50,Normal,65,Normal,Organised,30,Deep,30,Contain,30,Narrow,Cover,Leixões SC,Portugal Liga ZON Sagres,8
521,100632,6433,2015-09-10 00:00:00,58,Balanced,38.0,Normal,64,Mixed,Organised,37,Normal,42,Normal,52,Normal,Organised,43,Medium,47,Press,51,Normal,Cover,Go Ahead Eagles,Netherlands Eredivisie,6
160,1714,6493,2011-02-22 00:00:00,47,Balanced,,Little,54,Mixed,Organised,55,Normal,38,Normal,55,Normal,Organised,32,Deep,50,Press,56,Normal,Cover,AC Bellinzona,Switzerland Super League,9
979,100741,6547,2015-09-10 00:00:00,54,Balanced,54.0,Normal,39,Mixed,Organised,52,Normal,56,Normal,38,Normal,Organised,40,Medium,35,Press,46,Normal,Cover,FC Penafiel,Portugal Liga ZON Sagres,8
426,100626,6631,2015-09-10 00:00:00,39,Balanced,33.0,Little,62,Mixed,Organised,62,Normal,66,Normal,48,Normal,Organised,51,Medium,58,Press,55,Normal,Cover,FC Dordrecht,Netherlands Eredivisie,6
675,1862,7730,2014-09-19 00:00:00,37,Balanced,55.0,Normal,49,Mixed,Organised,52,Normal,60,Normal,52,Normal,Organised,46,Medium,44,Press,55,Normal,Cover,FC Lausanne-Sports,Switzerland Super League,9
268,647,7788,2015-09-10 00:00:00,43,Balanced,36.0,Normal,57,Mixed,Organised,46,Normal,50,Normal,38,Normal,Organised,42,Medium,49,Press,47,Normal,Cover,SC Cambuur,Netherlands Eredivisie,6
1141,58,7794,2015-09-10 00:00:00,61,Balanced,61.0,Normal,52,Mixed,Organised,56,Normal,51,Normal,49,Normal,Organised,44,Medium,55,Press,48,Normal,Cover,SC Bastia,France Ligue 1,4
260,210,7819,2015-09-10 00:00:00,62,Balanced,50.0,Normal,45,Mixed,Organised,48,Normal,54,Normal,53,Normal,Organised,43,Medium,42,Press,51,Normal,Cover,SM Caen,France Ligue 1,4
1088,744,7841,2015-09-10 00:00:00,66,Balanced,47.0,Normal,44,Mixed,Organised,58,Normal,65,Normal,54,Normal,Organised,39,Medium,48,Press,66,Normal,Cover,Rio Ave FC,Portugal Liga ZON Sagres,8
403,10020,7842,2015-09-10 00:00:00,59,Balanced,56.0,Normal,52,Mixed,Organised,47,Normal,53,Normal,39,Normal,Organised,46,Medium,49,Press,55,Normal,Cover,Estoril Praia,Portugal Liga ZON Sagres,8
1353,1887,7844,2015-09-10 00:00:00,40,Balanced,52.0,Normal,39,Mixed,Organised,53,Normal,62,Normal,58,Normal,Organised,37,Medium,40,Press,64,Normal,Cover,Vitória Guimarães,Portugal Liga ZON Sagres,8
330,1867,7869,2015-09-10 00:00:00,53,Balanced,40.0,Normal,48,Mixed,Organised,55,Normal,59,Normal,57,Normal,Organised,38,Medium,39,Press,52,Normal,Cover,Córdoba CF,Spain LIGA BBVA,2
529,110832,7878,2015-09-10 00:00:00,57,Balanced,50.0,Normal,59,Mixed,Organised,61,Normal,63,Normal,51,Normal,Organised,48,Medium,45,Press,62,Normal,Cover,Granada CF,Spain LIGA BBVA,2
1136,111974,7943,2015-09-10 00:00:00,57,Balanced,65.0,Normal,60,Mixed,Organised,56,Normal,57,Normal,56,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,Sassuolo,Italy Serie A,5
1429,435,7955,2012-02-22 00:00:00,49,Balanced,,Little,50,Mixed,Organised,39,Normal,48,Normal,34,Normal,Organised,34,Medium,31,Contain,51,Normal,Cover,Neuchâtel Xamax,Switzerland Super League,9
522,110565,8019,2015-09-10 00:00:00,41,Balanced,40.0,Normal,59,Mixed,Organised,41,Normal,44,Normal,54,Normal,Organised,52,Medium,47,Press,50,Normal,Cover,Górnik Łęczna,Poland Ekstraklasa,7
524,111429,8020,2011-02-22 00:00:00,46,Balanced,,Little,38,Mixed,Organised,36,Normal,33,Little,53,Normal,Organised,53,Medium,54,Press,55,Normal,Cover,Polonia Bytom,Poland Ekstraklasa,7
1444,110749,8021,2014-09-19 00:00:00,33,Slow,49.0,Normal,51,Mixed,Organised,38,Normal,63,Normal,48,Normal,Organised,58,Medium,38,Press,52,Normal,Cover,Zagłębie Lubin,Poland Ekstraklasa,7
995,110746,8023,2015-09-10 00:00:00,50,Balanced,33.0,Little,36,Mixed,Organised,52,Normal,40,Normal,52,Normal,Organised,57,Medium,54,Press,47,Normal,Cover,Pogoń Szczecin,Poland Ekstraklasa,7
1398,301,8024,2014-09-19 00:00:00,66,Balanced,52.0,Normal,72,Long,Organised,66,Normal,67,Lots,51,Normal,Organised,36,Medium,38,Press,65,Normal,Cover,Widzew Łódź,Poland Ekstraklasa,7
1174,111092,8025,2015-09-10 00:00:00,50,Balanced,55.0,Normal,35,Mixed,Organised,51,Normal,51,Normal,55,Normal,Organised,45,Medium,55,Press,39,Normal,Cover,Śląsk Wrocław,Poland Ekstraklasa,7
1452,112512,8027,2015-09-10 00:00:00,54,Balanced,51.0,Normal,40,Mixed,Organised,46,Normal,49,Normal,52,Normal,Organised,44,Medium,47,Press,52,Normal,Cover,Zawisza Bydgoszcz,Poland Ekstraklasa,7
988,111086,8028,2015-09-10 00:00:00,64,Balanced,52.0,Normal,67,Long,Organised,64,Normal,66,Normal,39,Normal,Organised,36,Medium,45,Press,48,Normal,Cover,Piast Gliwice,Poland Ekstraklasa,7
706,111091,8030,2015-09-10 00:00:00,62,Balanced,48.0,Normal,52,Mixed,Free Form,66,Normal,59,Normal,58,Normal,Organised,51,Medium,58,Press,40,Normal,Cover,Lechia Gdańsk,Poland Ekstraklasa,7
997,111429,8031,2011-02-22 00:00:00,46,Balanced,,Little,38,Mixed,Organised,36,Normal,33,Little,53,Normal,Organised,53,Medium,54,Press,55,Normal,Cover,Polonia Bytom,Poland Ekstraklasa,7
992,111087,8033,2015-09-10 00:00:00,68,Fast,55.0,Normal,66,Mixed,Organised,66,Normal,51,Normal,49,Normal,Organised,29,Deep,35,Press,38,Normal,Cover,Podbeskidzie Bielsko-Biała,Poland Ekstraklasa,7
618,620,8066,2015-09-10 00:00:00,48,Balanced,47.0,Normal,32,Short,Organised,57,Normal,48,Normal,69,Lots,Free Form,44,Medium,44,Press,51,Normal,Cover,Inverness Caledonian Thistle,Scotland Premier League,10
57,1530,8121,2015-09-10 00:00:00,48,Balanced,61.0,Normal,50,Mixed,Organised,40,Normal,52,Normal,48,Normal,Organised,44,Medium,44,Press,51,Normal,Cover,Angers SCO,France Ligue 1,4
1227,110329,8152,2015-09-10 00:00:00,52,Balanced,52.0,Normal,56,Mixed,Organised,62,Normal,53,Normal,38,Normal,Organised,39,Medium,44,Press,57,Normal,Cover,FC St. Pauli,Germany 1. Bundesliga,1
920,171,8165,2015-09-10 00:00:00,46,Balanced,58.0,Normal,49,Mixed,Organised,51,Normal,52,Normal,59,Normal,Organised,30,Deep,40,Press,44,Normal,Cover,1. FC Nürnberg,Germany 1. Bundesliga,1
585,166,8177,2015-09-10 00:00:00,47,Balanced,44.0,Normal,55,Mixed,Organised,59,Normal,68,Lots,45,Normal,Organised,50,Medium,45,Press,57,Normal,Cover,Hertha BSC Berlin,Germany 1. Bundesliga,1
142,32,8178,2015-09-10 00:00:00,73,Fast,29.0,Little,55,Mixed,Organised,77,Risky,54,Normal,61,Normal,Organised,61,Medium,72,Double,50,Normal,Cover,Bayer 04 Leverkusen,Germany 1. Bundesliga,1
254,1796,8191,2015-09-10 00:00:00,54,Balanced,32.0,Little,67,Long,Organised,72,Risky,57,Normal,47,Normal,Organised,63,Medium,62,Press,58,Normal,Cover,Burnley,England Premier League,3
469,110636,8194,2015-09-10 00:00:00,47,Balanced,62.0,Normal,47,Mixed,Organised,55,Normal,68,Lots,55,Normal,Organised,56,Medium,57,Press,52,Normal,Cover,Fortuna Düsseldorf,Germany 1. Bundesliga,1
718,95,8197,2015-09-10 00:00:00,63,Balanced,41.0,Normal,60,Mixed,Organised,47,Normal,64,Normal,46,Normal,Organised,58,Medium,65,Press,55,Normal,Cover,Leicester City,England Premier League,3
665,110724,8203,2015-09-10 00:00:00,52,Balanced,42.0,Normal,40,Mixed,Organised,47,Normal,53,Normal,50,Normal,Organised,42,Medium,51,Press,52,Normal,Cover,KV Mechelen,Belgium Jupiler League,11
596,10029,8226,2015-09-10 00:00:00,69,Fast,49.0,Normal,53,Mixed,Organised,66,Normal,62,Normal,59,Normal,Organised,63,Medium,61,Press,38,Normal,Cover,TSG 1899 Hoffenheim,Germany 1. Bundesliga,1
607,111239,8234,2015-09-10 00:00:00,55,Balanced,51.0,Normal,46,Mixed,Organised,47,Normal,53,Normal,51,Normal,Organised,37,Medium,48,Press,49,Normal,Cover,FC Ingolstadt 04,Germany 1. Bundesliga,1
927,1564,8242,2010-02-22 00:00:00,30,Slow,,Little,45,Mixed,Organised,45,Normal,40,Normal,70,Lots,Organised,70,High,70,Double,65,Normal,Cover,Odra Wodzisław,Poland Ekstraklasa,7
758,301,8244,2014-09-19 00:00:00,66,Balanced,52.0,Normal,72,Long,Organised,66,Normal,67,Lots,51,Normal,Organised,36,Medium,38,Press,65,Normal,Cover,Widzew Łódź,Poland Ekstraklasa,7
653,111083,8245,2015-09-10 00:00:00,59,Balanced,69.0,Lots,50,Mixed,Organised,64,Normal,53,Normal,36,Normal,Organised,30,Deep,43,Press,62,Normal,Cover,Korona Kielce,Poland Ekstraklasa,7
342,110502,8262,2015-09-10 00:00:00,59,Balanced,43.0,Normal,77,Long,Organised,52,Normal,77,Lots,45,Normal,Organised,32,Deep,56,Press,41,Normal,Cover,SV Darmstadt 98,Germany 1. Bundesliga,1
1347,1909,8277,2015-09-10 00:00:00,57,Balanced,40.0,Normal,48,Mixed,Free Form,53,Normal,37,Normal,71,Lots,Free Form,60,Medium,58,Press,62,Normal,Cover,Vitesse,Netherlands Eredivisie,6
358,180,8284,2015-09-10 00:00:00,47,Balanced,47.0,Normal,48,Mixed,Organised,32,Safe,61,Normal,65,Normal,Organised,50,Medium,44,Press,52,Normal,Cover,Dundee FC,Scotland Premier League,10
641,1832,8295,2015-09-10 00:00:00,54,Balanced,52.0,Normal,47,Mixed,Organised,53,Normal,44,Normal,49,Normal,Organised,34,Medium,46,Press,39,Normal,Cover,Karlsruher SC,Germany 1. Bundesliga,1
1162,481,8302,2015-09-10 00:00:00,53,Balanced,53.0,Normal,53,Mixed,Organised,53,Normal,52,Normal,60,Normal,Organised,42,Medium,48,Press,59,Normal,Cover,Sevilla FC,Spain LIGA BBVA,2
508,1860,8305,2015-09-10 00:00:00,34,Balanced,41.0,Normal,38,Mixed,Organised,55,Normal,39,Normal,49,Normal,Organised,43,Medium,42,Press,49,Normal,Cover,Getafe CF,Spain LIGA BBVA,2
671,472,8306,2015-09-10 00:00:00,48,Balanced,55.0,Normal,44,Mixed,Organised,53,Normal,42,Normal,53,Normal,Organised,53,Medium,39,Press,57,Normal,Cover,UD Las Palmas,Spain LIGA BBVA,2
94,448,8315,2015-09-10 00:00:00,46,Balanced,46.0,Normal,39,Mixed,Organised,50,Normal,60,Normal,36,Normal,Free Form,49,Medium,57,Press,50,Normal,Cover,Athletic Club de Bilbao,Spain LIGA BBVA,2
59,111082,8322,2011-02-22 00:00:00,46,Balanced,,Little,37,Mixed,Organised,33,Safe,62,Normal,52,Normal,Organised,47,Medium,48,Press,45,Normal,Cover,Arka Gdynia,Poland Ekstraklasa,7
324,231,8342,2015-09-10 00:00:00,42,Balanced,52.0,Normal,45,Mixed,Organised,42,Normal,57,Normal,47,Normal,Organised,51,Medium,50,Press,57,Normal,Cover,Club Brugge KV,Belgium Jupiler League,11
274,1961,8344,2015-09-10 00:00:00,60,Balanced,41.0,Normal,67,Long,Organised,52,Normal,56,Normal,46,Normal,Organised,33,Deep,41,Press,39,Normal,Cover,Cardiff City,England Premier League,3
852,1900,8348,2015-09-10 00:00:00,38,Balanced,58.0,Normal,43,Mixed,Organised,51,Normal,54,Normal,39,Normal,Organised,44,Medium,46,Press,48,Normal,Cover,Moreirense FC,Portugal Liga ZON Sagres,8
636,29,8350,2015-09-10 00:00:00,49,Balanced,54.0,Normal,52,Mixed,Organised,49,Normal,54,Normal,64,Normal,Organised,41,Medium,51,Press,53,Normal,Cover,1. FC Kaiserslautern,Germany 1. Bundesliga,1
543,165,8357,2015-09-10 00:00:00,54,Balanced,60.0,Normal,53,Mixed,Organised,54,Normal,49,Normal,46,Normal,Organised,48,Medium,56,Press,66,Normal,Cover,SpVgg Greuther Fürth,Germany 1. Bundesliga,1
475,25,8358,2015-09-10 00:00:00,59,Balanced,54.0,Normal,38,Mixed,Organised,55,Normal,44,Normal,45,Normal,Free Form,53,Medium,62,Press,29,Narrow,Cover,SC Freiburg,Germany 1. Bundesliga,1
1036,480,8370,2015-09-10 00:00:00,29,Slow,52.0,Normal,44,Mixed,Organised,44,Normal,44,Normal,47,Normal,Organised,54,Medium,52,Press,63,Normal,Cover,Rayo Vallecano,Spain LIGA BBVA,2
940,479,8371,2015-09-10 00:00:00,38,Balanced,53.0,Normal,52,Mixed,Organised,55,Normal,59,Normal,54,Normal,Organised,47,Medium,52,Press,69,Wide,Cover,CA Osasuna,Spain LIGA BBVA,2
367,467,8372,2015-09-10 00:00:00,62,Balanced,51.0,Normal,52,Mixed,Organised,59,Normal,55,Normal,52,Normal,Organised,37,Medium,56,Press,49,Normal,Cover,SD Eibar,Spain LIGA BBVA,2
926,477,8388,2015-09-10 00:00:00,44,Balanced,48.0,Normal,45,Mixed,Organised,54,Normal,41,Normal,57,Normal,Organised,50,Medium,46,Press,62,Normal,Cover,CD Numancia,Spain LIGA BBVA,2
1450,244,8394,2015-09-10 00:00:00,52,Balanced,52.0,Normal,50,Mixed,Organised,52,Normal,56,Normal,57,Normal,Organised,48,Medium,43,Press,49,Normal,Cover,Real Zaragoza,Spain LIGA BBVA,2
394,162,8398,2014-09-19 00:00:00,39,Balanced,47.0,Normal,40,Mixed,Organised,52,Normal,67,Lots,56,Normal,Organised,47,Medium,55,Press,52,Normal,Cover,FC Energie Cottbus,Germany 1. Bundesliga,1
106,100409,8406,2015-09-10 00:00:00,59,Balanced,51.0,Normal,55,Mixed,Organised,49,Normal,62,Normal,55,Normal,Organised,34,Medium,50,Press,59,Normal,Cover,FC Augsburg,Germany 1. Bundesliga,1
975,1754,8426,2015-09-10 00:00:00,48,Balanced,48.0,Normal,47,Mixed,Organised,47,Normal,53,Normal,60,Normal,Organised,46,Medium,46,Press,49,Normal,Cover,Partick Thistle F.C.,Scotland Premier League,10
557,184,8429,2015-09-10 00:00:00,48,Balanced,48.0,Normal,47,Mixed,Free Form,73,Risky,53,Normal,71,Lots,Organised,55,Medium,48,Press,52,Normal,Cover,Hamilton Academical FC,Scotland Premier League,10
312,5,8455,2015-09-10 00:00:00,67,Fast,41.0,Normal,36,Mixed,Organised,41,Normal,34,Normal,44,Normal,Organised,39,Medium,41,Press,46,Normal,Cover,Chelsea,England Premier League,3
806,10,8456,2015-09-10 00:00:00,59,Balanced,35.0,Normal,29,Short,Free Form,38,Normal,36,Normal,24,Little,Free Form,48,Medium,47,Press,54,Normal,Cover,Manchester City,England Premier League,3
365,182,8457,2012-02-22 00:00:00,55,Balanced,,Little,60,Mixed,Organised,46,Normal,68,Lots,54,Normal,Organised,42,Medium,43,Press,63,Normal,Cover,Dunfermline Athletic,Scotland Premier League,10
955,10030,8460,2015-09-10 00:00:00,67,Fast,46.0,Normal,62,Mixed,Organised,56,Normal,48,Normal,56,Normal,Organised,25,Deep,29,Contain,54,Normal,Cover,SC Paderborn 07,Germany 1. Bundesliga,1
1007,1790,8462,2015-09-10 00:00:00,59,Balanced,32.0,Little,57,Mixed,Organised,49,Normal,47,Normal,53,Normal,Organised,39,Medium,40,Press,44,Normal,Cover,Portsmouth,England Premier League,3
892,1910,8464,2014-09-19 00:00:00,49,Balanced,42.0,Normal,59,Mixed,Organised,52,Normal,49,Normal,55,Normal,Organised,40,Medium,48,Press,53,Normal,Cover,N.E.C.,Netherlands Eredivisie,6
1186,17,8466,2015-09-10 00:00:00,52,Balanced,31.0,Little,46,Mixed,Organised,42,Normal,54,Normal,30,Little,Organised,50,Medium,65,Press,44,Normal,Cover,Southampton,England Premier League,3
1233,100804,8467,2015-09-10 00:00:00,62,Balanced,52.0,Normal,48,Mixed,Organised,47,Normal,49,Normal,40,Normal,Organised,37,Medium,48,Press,55,Normal,Cover,St. Johnstone FC,Scotland Premier League,10
1254,106,8472,2015-09-10 00:00:00,43,Balanced,43.0,Normal,51,Mixed,Organised,59,Normal,50,Normal,55,Normal,Organised,47,Medium,45,Press,49,Normal,Cover,Sunderland,England Premier League,3
1366,110913,8475,2015-09-10 00:00:00,38,Balanced,45.0,Normal,49,Mixed,Organised,45,Normal,42,Normal,53,Normal,Organised,27,Deep,32,Contain,35,Normal,Cover,Waasland-Beveren,Belgium Jupiler League,11
1066,571,8479,2015-09-10 00:00:00,37,Balanced,38.0,Normal,43,Mixed,Organised,30,Safe,42,Normal,37,Normal,Organised,40,Medium,49,Press,54,Normal,Cover,RC Recreativo,Spain LIGA BBVA,2
879,1823,8481,2015-09-10 00:00:00,49,Balanced,48.0,Normal,49,Mixed,Organised,52,Normal,53,Normal,67,Lots,Organised,43,Medium,46,Press,50,Normal,Cover,AS Nancy-Lorraine,France Ligue 1,4
184,1926,8483,2015-09-10 00:00:00,62,Balanced,36.0,Normal,64,Mixed,Organised,59,Normal,43,Normal,64,Normal,Organised,39,Medium,38,Press,54,Normal,Cover,Blackpool,England Premier League,3
9,77,8485,2015-09-10 00:00:00,59,Balanced,64.0,Normal,53,Mixed,Organised,51,Normal,72,Lots,63,Normal,Free Form,49,Medium,45,Press,63,Normal,Cover,Aberdeen,Scotland Premier League,10
248,378,8521,2015-09-10 00:00:00,59,Balanced,48.0,Normal,54,Mixed,Organised,49,Normal,53,Normal,66,Normal,Organised,44,Medium,34,Press,51,Normal,Cover,Stade Brestois 29,France Ligue 1,4
88,39,8524,2015-09-10 00:00:00,64,Balanced,45.0,Normal,37,Mixed,Organised,38,Normal,49,Normal,51,Normal,Organised,36,Medium,63,Press,49,Normal,Cover,Atalanta,Italy Serie A,5
1408,1907,8525,2015-09-10 00:00:00,51,Balanced,36.0,Normal,63,Mixed,Organised,48,Normal,53,Normal,52,Normal,Organised,43,Medium,45,Press,47,Normal,Cover,Willem II,Netherlands Eredivisie,6
344,635,8526,2012-02-22 00:00:00,37,Balanced,,Little,41,Mixed,Organised,47,Normal,40,Normal,63,Normal,Organised,52,Medium,43,Press,41,Normal,Cover,De Graafschap,Netherlands Eredivisie,6
1404,1917,8528,2015-09-10 00:00:00,51,Balanced,37.0,Normal,56,Mixed,Organised,52,Normal,59,Normal,40,Normal,Organised,62,Medium,48,Press,44,Normal,Cover,Wigan Athletic,England Premier League,3
266,1842,8529,2015-09-10 00:00:00,67,Fast,32.0,Little,35,Mixed,Organised,69,Risky,58,Normal,69,Lots,Free Form,65,Medium,65,Press,57,Normal,Offside Trap,Cagliari,Italy Serie A,5
282,110364,8530,2015-09-10 00:00:00,70,Fast,52.0,Normal,48,Mixed,Organised,53,Normal,52,Normal,36,Normal,Organised,31,Deep,64,Press,52,Normal,Cover,Catania,Italy Serie A,5
318,192,8533,2015-09-10 00:00:00,66,Balanced,54.0,Normal,67,Long,Organised,52,Normal,66,Normal,52,Normal,Organised,46,Medium,59,Press,51,Normal,Cover,Chievo Verona,Italy Serie A,5
389,1746,8534,2015-09-10 00:00:00,66,Balanced,43.0,Normal,36,Mixed,Organised,59,Normal,64,Normal,63,Normal,Organised,46,Medium,66,Press,48,Normal,Cover,Empoli,Italy Serie A,5
463,110374,8535,2015-09-10 00:00:00,34,Balanced,54.0,Normal,33,Short,Organised,68,Risky,51,Normal,53,Normal,Organised,58,Medium,59,Press,61,Normal,Cover,Fiorentina,Italy Serie A,5
754,1844,8537,2015-09-10 00:00:00,58,Balanced,58.0,Normal,67,Long,Organised,38,Normal,27,Little,69,Lots,Organised,31,Deep,57,Press,38,Normal,Cover,Livorno,Italy Serie A,5
961,1843,8540,2015-09-10 00:00:00,66,Balanced,66.0,Normal,36,Mixed,Organised,60,Normal,34,Normal,64,Normal,Organised,44,Medium,58,Press,50,Normal,Cover,Palermo,Italy Serie A,5
681,46,8543,2015-09-10 00:00:00,68,Fast,65.0,Normal,55,Mixed,Organised,68,Risky,80,Lots,72,Lots,Free Form,59,Medium,66,Press,65,Normal,Cover,Lazio,Italy Serie A,5
1030,86,8548,2015-09-10 00:00:00,45,Balanced,53.0,Normal,55,Mixed,Organised,38,Normal,62,Normal,53,Normal,Organised,48,Medium,48,Press,55,Normal,Cover,Rangers,Scotland Premier League,10
835,12,8549,2015-09-10 00:00:00,60,Balanced,32.0,Little,46,Mixed,Organised,43,Normal,55,Normal,37,Normal,Organised,38,Medium,42,Press,42,Normal,Cover,Middlesbrough,England Premier League,3
829,68,8550,2015-09-10 00:00:00,55,Balanced,48.0,Normal,49,Mixed,Organised,46,Normal,54,Normal,53,Normal,Organised,39,Medium,46,Press,42,Normal,Cover,FC Metz,France Ligue 1,4
1097,1838,8551,2014-09-19 00:00:00,47,Balanced,49.0,Normal,48,Mixed,Organised,64,Normal,67,Lots,52,Normal,Organised,44,Medium,49,Press,51,Normal,Cover,Siena,Italy Serie A,5
400,452,8558,2015-09-10 00:00:00,50,Balanced,52.0,Normal,44,Mixed,Organised,52,Normal,60,Normal,40,Normal,Free Form,37,Medium,40,Press,45,Normal,Cover,RCD Espanyol,Spain LIGA BBVA,2
203,4,8559,2015-09-10 00:00:00,57,Balanced,34.0,Normal,61,Mixed,Organised,72,Risky,60,Normal,38,Normal,Organised,39,Medium,48,Press,58,Normal,Cover,Bolton Wanderers,England Premier League,3
1060,457,8560,2015-09-10 00:00:00,60,Balanced,52.0,Normal,50,Mixed,Organised,54,Normal,60,Normal,52,Normal,Organised,49,Medium,53,Press,53,Normal,Cover,Real Sociedad,Spain LIGA BBVA,2
21,47,8564,2015-09-10 00:00:00,48,Balanced,70.0,Lots,52,Mixed,Organised,66,Normal,36,Normal,69,Lots,Organised,58,Medium,57,Press,49,Normal,Cover,Milan,Italy Serie A,5
519,110744,8569,2015-09-10 00:00:00,52,Balanced,48.0,Normal,43,Mixed,Organised,52,Normal,37,Normal,50,Normal,Organised,47,Medium,45,Press,40,Normal,Cover,GKS Bełchatów,Poland Ekstraklasa,7
659,100081,8571,2015-09-10 00:00:00,42,Balanced,40.0,Normal,47,Mixed,Organised,37,Normal,67,Lots,30,Little,Organised,46,Medium,45,Press,52,Normal,Cover,KV Kortrijk,Belgium Jupiler League,11
934,682,8573,2015-09-10 00:00:00,52,Balanced,49.0,Normal,54,Mixed,Organised,45,Normal,42,Normal,53,Normal,Organised,42,Medium,47,Press,44,Normal,Cover,KV Oostende,Belgium Jupiler League,11
15,614,8576,2015-09-10 00:00:00,59,Balanced,57.0,Normal,52,Mixed,Organised,48,Normal,38,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover,AC Ajaccio,France Ligue 1,4
731,1853,8581,2015-09-10 00:00:00,62,Balanced,36.0,Normal,65,Mixed,Organised,71,Risky,42,Normal,65,Normal,Organised,36,Medium,33,Contain,42,Normal,Cover,Levante UD,Spain LIGA BBVA,2
112,57,8583,2015-09-10 00:00:00,64,Balanced,55.0,Normal,49,Mixed,Organised,51,Normal,63,Normal,50,Normal,Organised,34,Medium,45,Press,40,Normal,Cover,AJ Auxerre,France Ligue 1,4
